Unit_ID,Category,Sector,Cluster_City,Investment_INR_Cr,Turnover_INR_Cr,GST_Filing,GST_Consistency,Physical_Risk_Index,Green_Capex_Score,NLP_Authenticity_Score,SEC_toe_per_tonne,Digital_Readiness,Technostress,Physical_Flood_Risk,ESG_Disclosure_Score,News_Sentiment,PD_Prob,Approved
MSME_0013,Small,Manufacturing,Rajkot,18.00,120.00,1,0.96,25,78,0.80,0.63,4.1,3.0,25,65,0.30,0.032,1
MSME_0014,Micro,Trading,Hyderabad,0.22,2.80,1,0.85,22,40,0.52,0.08,3.8,3.2,18,35,0.00,0.145,1
MSME_0015,Micro,Manufacturing,Indore,0.40,3.90,0,0.58,52,12,0.18,0.72,2.9,4.5,50,15,-0.55,0.935,0
MSME_0016,Micro,Manufacturing,Vapi,0.95,8.20,1,0.91,55,68,0.75,1.18,3.7,3.1,52,48,0.11,0.124,1
MSME_0017,Micro,Services,Pune,0.50,5.80,1,0.94,20,72,0.83,0.05,4.3,2.4,15,60,0.25,0.052,1
MSME_0018,Small,Manufacturing,Chennai,12.00,92.00,1,0.97,75,90,0.92,0.58,4.6,1.9,85,82,0.48,0.018,1
MSME_0019,Micro,Trading,Surat,0.18,2.10,1,0.89,84,38,0.51,0.12,3.5,3.3,85,38,0.02,0.132,1
MSME_0020,Micro,Manufacturing,Faridabad,0.35,3.20,1,0.92,42,65,0.78,0.88,4.0,2.8,40,52,0.18,0.072,1
MSME_0021,Micro,Manufacturing,Coimbatore,0.78,6.80,1,0.96,12,84,0.89,0.46,4.4,2.1,10,65,0.32,0.038,1
MSME_0022,Small,Trading,Ludhiana,9.50,75.00,1,0.93,32,58,0.70,0.20,3.9,3.2,28,52,0.10,0.068,1
MSME_0023,Micro,Manufacturing,Surat,0.55,5.20,1,0.91,80,72,0.81,0.55,4.2,2.6,85,62,0.28,0.051,1
MSME_0024,Micro,Services,Delhi,0.25,3.10,1,0.88,40,48,0.62,0.04,4.1,2.9,38,42,0.15,0.105,1
MSME_0025,Micro,Manufacturing,Vapi,0.68,6.10,0,0.62,58,15,0.25,1.22,3.3,4.0,55,25,-0.18,0.865,0
MSME_0026,Micro,Manufacturing,Tirupur,0.42,3.80,1,0.95,65,82,0.86,1.15,4.5,2.2,72,70,0.42,0.042,1
MSME_0027,Small,Manufacturing,Coimbatore,15.50,115.00,1,0.98,18,88,0.93,0.38,4.7,1.7,15,85,0.52,0.018,1
MSME_0028,Micro,Trading,Rajkot,0.15,1.95,1,0.86,28,42,0.55,0.06,3.8,3.1,22,38,0.08,0.138,1
MSME_0029,Micro,Services,Hyderabad,0.38,4.20,1,0.91,24,68,0.78,0.02,4.2,2.6,18,55,0.21,0.062,1
MSME_0030,Micro,Manufacturing,Indore,0.62,5.50,1,0.93,45,75,0.82,0.85,4.0,2.8,42,58,0.19,0.068,1
MSME_0031,Small,Manufacturing,Surat,22.00,155.00,1,0.97,85,92,0.95,0.32,4.6,1.8,85,90,0.58,0.012,1
MSME_0032,Micro,Trading,Delhi,0.05,0.75,0,0.68,45,12,0.20,0.03,3.2,4.4,45,20,-0.32,0.924,0
MSME_0033,Micro,Manufacturing,Faridabad,0.82,7.10,1,0.94,40,78,0.85,0.95,4.3,2.5,38,65,0.31,0.045,1
MSME_0034,Micro,Services,Chennai,0.48,5.40,1,0.95,68,85,0.90,0.05,4.4,2.2,75,75,0.44,0.032,1
MSME_0035,Micro,Manufacturing,Vapi,0.74,6.50,1,0.92,52,70,0.78,1.20,4.1,2.9,50,55,0.22,0.075,1
MSME_0036,Small,Trading,Pune,10.20,82.00,1,0.96,15,82,0.88,0.12,4.5,2.1,12,78,0.41,0.028,1
MSME_0037,Micro,Manufacturing,Surat,0.91,8.10,1,0.94,82,78,0.85,0.48,4.2,2.6,85,65,0.32,0.048,1
MSME_0038,Micro,Manufacturing,Tirupur,0.32,2.90,1,0.85,72,40,0.58,1.08,3.9,3.2,70,35,0.05,0.145,1
MSME_0039,Micro,Trading,Hyderabad,0.12,1.55,1,0.89,20,52,0.68,0.04,4.2,2.7,18,48,0.18,0.092,1
MSME_0040,Small,Manufacturing,Rajkot,12.50,95.00,1,0.93,30,75,0.82,0.55,4.3,2.8,25,62,0.24,0.052,1
MSME_0041,Micro,Manufacturing,Vapi,0.55,4.90,1,0.92,55,68,0.75,1.15,4.1,3.0,52,45,0.15,0.088,1
MSME_0042,Micro,Services,Ludhiana,0.28,3.40,1,0.91,35,55,0.65,0.02,4.0,3.1,30,50,0.10,0.098,1
MSME_0043,Micro,Manufacturing,Faridabad,0.88,7.60,1,0.95,42,82,0.88,0.92,4.4,2.5,40,65,0.31,0.045,1
MSME_0044,Micro,Trading,Surat,0.15,1.80,1,0.87,84,42,0.55,0.08,3.8,3.2,85,40,0.05,0.128,1
MSME_0045,Micro,Manufacturing,Indore,0.48,4.10,0,0.61,52,15,0.25,0.85,3.3,4.5,50,22,-0.22,0.915,0
MSME_0046,Micro,Services,Delhi,0.35,3.90,1,0.92,40,62,0.78,0.05,4.2,2.8,38,55,0.22,0.072,1
MSME_0047,Small,Manufacturing,Chennai,18.00,125.00,1,0.97,72,90,0.92,0.62,4.6,1.8,82,85,0.45,0.015,1
MSME_0048,Micro,Trading,Rajkot,0.22,2.50,1,0.86,25,48,0.61,0.07,3.9,3.3,22,42,0.12,0.125,1
MSME_0049,Micro,Manufacturing,Coimbatore,0.72,6.20,1,0.96,15,85,0.89,0.42,4.4,2.0,12,68,0.33,0.038,1
MSME_0050,Micro,Services,Hyderabad,0.40,4.80,1,0.93,22,72,0.83,0.03,4.3,2.4,18,60,0.25,0.055,1
MSME_0051,Micro,Manufacturing,Surat,0.52,4.80,1,0.91,80,70,0.81,0.52,4.2,2.6,85,60,0.28,0.052,1
MSME_0052,Small,Trading,Faridabad,8.50,68.00,1,0.94,45,62,0.75,0.15,4.1,3.0,42,55,0.15,0.065,1
MSME_0053,Micro,Manufacturing,Vapi,0.65,5.80,1,0.92,55,75,0.82,1.22,4.1,2.9,50,58,0.20,0.075,1
MSME_0054,Micro,Services,Chennai,0.32,3.80,1,0.95,68,82,0.86,0.05,4.5,2.2,75,70,0.42,0.042,1
MSME_0055,Micro,Manufacturing,Ludhiana,0.98,8.50,1,0.98,30,88,0.95,1.65,4.2,2.9,30,85,0.55,0.015,1
MSME_0056,Small,Trading,Surat,12.00,92.00,1,0.96,82,78,0.85,0.12,4.2,2.8,85,82,0.35,0.032,1
MSME_0057,Micro,Manufacturing,Rajkot,0.55,5.10,1,0.93,25,72,0.80,0.63,4.1,3.0,25,62,0.28,0.052,1
MSME_0058,Micro,Trading,Delhi,0.18,2.10,1,0.89,42,52,0.68,0.03,4.2,2.7,40,48,0.18,0.092,1
MSME_0059,Micro,Services,Hyderabad,0.42,5.20,1,0.94,22,75,0.82,0.04,4.4,2.4,18,65,0.31,0.048,1
MSME_0060,Micro,Manufacturing,Indore,0.68,6.10,0,0.62,50,15,0.25,0.88,3.3,4.5,50,25,-0.18,0.912,0
MSME_0061,Small,Manufacturing,Vapi,18.00,120.00,1,0.96,55,85,0.89,1.18,4.4,2.0,52,68,0.33,0.038,1
MSME_0062,Micro,Trading,Pune,0.25,3.20,1,0.93,18,55,0.72,0.02,4.1,3.0,12,55,0.22,0.065,1
MSME_0063,Micro,Manufacturing,Surat,0.82,7.20,1,0.94,85,92,0.95,0.55,4.6,1.8,85,90,0.58,0.012,1
MSME_0064,Micro,Services,Delhi,0.48,5.80,1,0.95,45,82,0.86,0.05,4.5,2.2,45,70,0.42,0.042,1
MSME_0065,Micro,Manufacturing,Faridabad,0.74,6.50,1,0.92,40,70,0.78,0.95,4.1,2.9,38,55,0.22,0.075,1
MSME_0066,Small,Trading,Chennai,15.00,115.00,1,0.98,75,88,0.93,0.03,4.7,1.7,85,85,0.52,0.018,1
MSME_0067,Micro,Manufacturing,Coimbatore,0.91,8.10,1,0.94,12,78,0.85,0.42,4.2,2.6,10,65,0.32,0.048,1
MSME_0068,Micro,Trading,Rajkot,0.12,1.80,1,0.87,28,42,0.55,0.06,3.8,3.2,25,40,0.05,0.128,1
MSME_0069,Micro,Services,Hyderabad,0.35,4.10,0,0.61,22,15,0.25,0.03,3.3,4.5,18,22,-0.22,0.915,0
MSME_0070,Small,Manufacturing,Indore,12.50,92.00,1,0.97,52,90,0.92,0.72,4.6,1.8,50,85,0.45,0.015,1
MSME_0071,Micro,Manufacturing,Vapi,0.62,5.50,1,0.93,55,75,0.82,1.22,4.1,3.0,52,62,0.28,0.052,1
MSME_0072,Micro,Trading,Delhi,0.18,2.10,1,0.89,42,52,0.68,0.03,4.2,2.7,40,48,0.18,0.092,1
MSME_0073,Micro,Services,Ludhiana,0.42,5.20,1,0.94,35,75,0.82,0.02,4.4,2.4,30,65,0.31,0.048,1
MSME_0074,Micro,Manufacturing,Surat,0.68,6.10,0,0.62,80,15,0.25,0.88,3.3,4.5,85,25,-0.18,0.912,0
MSME_0075,Small,Trading,Coimbatore,18.00,120.00,1,0.96,15,85,0.89,0.12,4.4,2.0,12,68,0.33,0.038,1
MSME_0076,Micro,Manufacturing,Tirupur,0.25,3.20,1,0.93,65,72,0.80,1.15,4.1,3.0,72,62,0.22,0.065,1
MSME_0077,Micro,Trading,Hyderabad,0.82,7.20,1,0.94,22,92,0.95,0.06,4.6,1.8,18,90,0.58,0.012,1
MSME_0078,Small,Services,Delhi,15.00,115.00,1,0.98,40,88,0.93,0.03,4.7,1.7,38,85,0.52,0.018,1
MSME_0079,Micro,Manufacturing,Faridabad,0.91,8.10,1,0.94,42,78,0.85,0.95,4.2,2.6,40,65,0.32,0.048,1
MSME_0080,Micro,Trading,Surat,0.12,1.80,1,0.87,84,42,0.55,0.08,3.8,3.2,85,40,0.05,0.128,1
MSME_0081,Micro,Manufacturing,Indore,0.35,4.10,0,0.61,52,15,0.25,0.85,3.3,4.5,50,22,-0.22,0.915,0
MSME_0082,Small,Manufacturing,Chennai,12.50,92.00,1,0.97,75,90,0.92,0.62,4.6,1.8,85,85,0.45,0.015,1
MSME_0083,Micro,Trading,Rajkot,0.62,5.50,1,0.93,28,75,0.82,0.07,4.1,3.0,22,62,0.28,0.052,1
MSME_0084,Micro,Manufacturing,Vapi,0.18,2.10,1,0.89,55,52,0.68,1.22,4.2,2.7,52,48,0.18,0.092,1
MSME_0085,Small,Services,Delhi,15.50,115.00,1,0.98,42,88,0.93,0.03,4.7,1.7,40,85,0.52,0.018,1
MSME_0086,Micro,Manufacturing,Faridabad,0.91,8.10,1,0.94,40,78,0.85,0.95,4.2,2.6,38,65,0.32,0.048,1
MSME_0087,Micro,Trading,Surat,0.12,1.80,1,0.87,82,42,0.55,0.08,3.8,3.2,85,40,0.05,0.128,1
MSME_0088,Small,Manufacturing,Tirupur,12.50,95.00,1,0.93,68,75,0.82,1.15,4.3,2.8,72,62,0.24,0.052,1
MSME_0089,Micro,Trading,Rajkot,0.55,4.90,1,0.92,25,68,0.75,0.06,4.1,3.0,25,45,0.15,0.088,1
MSME_0090,Micro,Manufacturing,Ludhiana,0.28,3.40,1,0.91,30,55,0.65,1.65,4.0,3.1,30,50,0.10,0.098,1
MSME_0091,Small,Manufacturing,Faridabad,15.50,115.00,1,0.98,42,88,0.93,0.92,4.7,1.7,40,85,0.52,0.018,1
MSME_0092,Micro,Trading,Surat,0.91,8.10,1,0.94,82,78,0.85,0.12,4.2,2.6,85,65,0.32,0.048,1
MSME_0093,Micro,Manufacturing,Tirupur,0.12,1.80,1,0.87,68,42,0.55,1.15,3.8,3.2,72,40,0.05,0.128,1
MSME_0094,Small,Manufacturing,Rajkot,12.50,95.00,1,0.93,25,75,0.82,0.63,4.3,2.8,25,62,0.24,0.052,1
MSME_0095,Micro,Trading,Delhi,0.55,4.90,1,0.92,42,68,0.75,0.03,4.1,3.0,40,45,0.15,0.088,1
MSME_0096,Micro,Manufacturing,Hyderabad,0.28,3.40,1,0.91,22,55,0.65,0.05,4.0,3.1,18,50,0.10,0.098,1
MSME_0097,Small,Manufacturing,Indore,18.00,120.00,1,0.96,52,85,0.89,0.72,4.4,2.0,50,68,0.33,0.038,1
MSME_0098,Micro,Trading,Pune,0.25,3.20,1,0.93,18,55,0.72,0.02,4.1,3.0,15,55,0.22,0.065,1
MSME_0099,Micro,Manufacturing,Surat,0.82,7.20,1,0.94,85,92,0.95,0.55,4.6,1.8,85,90,0.58,0.012,1
MSME_0100,Medium,Manufacturing,Ludhiana,75.00,420.00,1,0.99,30,95,0.96,1.65,4.8,2.8,32,92,0.65,0.008,1
